Timestamp | CPU % of Total | CPU Used (cores) | %MEM | RAM Used (GB) | GPU Util % | GPU MEM Used (MB)
2025-05-22 17:13:31 | 0.26% | 0.06 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:13:32 | 0.27% | 0.06 | 15.1 | 19.12 | 0% | 571
2025-05-22 17:13:33 | 0.27% | 0.06 | 15.5 | 19.54 | 0% | 571
2025-05-22 17:13:34 | 0.27% | 0.06 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:13:35 | 0.27% | 0.06 | 14.9 | 18.71 | 0% | 571
2025-05-22 17:13:36 | 0.27% | 0.06 | 15.6 | 19.68 | 0% | 571
2025-05-22 17:13:38 | 0.27% | 0.07 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:13:39 | 0.27% | 0.07 | 14.9 | 18.83 | 0% | 571
2025-05-22 17:13:40 | 0.27% | 0.07 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:13:41 | 0.27% | 0.07 | 14.7 | 18.58 | 0% | 571
2025-05-22 17:13:42 | 0.27% | 0.07 | 15.1 | 19.06 | 0% | 571
2025-05-22 17:13:43 | 0.27% | 0.07 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:13:45 | 0.27% | 0.07 | 14.8 | 18.50 | 0% | 571
2025-05-22 17:13:46 | 0.27% | 0.07 | 15.4 | 19.33 | 0% | 571
2025-05-22 17:13:47 | 0.28% | 0.07 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:13:48 | 0.28% | 0.07 | 15.0 | 18.83 | 0% | 571
2025-05-22 17:13:49 | 0.28% | 0.07 | 15.4 | 19.33 | 0% | 571
2025-05-22 17:13:50 | 0.28% | 0.07 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:13:52 | 0.28% | 0.07 | 14.9 | 18.91 | 0% | 571
2025-05-22 17:13:53 | 0.28% | 0.07 | 15.4 | 19.33 | 0% | 571
2025-05-22 17:13:54 | 0.28% | 0.07 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:13:55 | 0.28% | 0.07 | 15.2 | 19.03 | 0% | 571
2025-05-22 17:13:56 | 0.29% | 0.07 | 15.5 | 19.47 | 0% | 571
2025-05-22 17:13:57 | 0.29% | 0.07 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:13:58 | 0.29% | 0.07 | 14.9 | 18.59 | 0% | 571
2025-05-22 17:14:00 | 0.29% | 0.07 | 15.5 | 19.58 | 0% | 571
2025-05-22 17:14:01 | 0.29% | 0.07 | 14.5 | 18.30 | 1% | 571
2025-05-22 17:14:02 | 0.29% | 0.07 | 14.9 | 18.71 | 0% | 571
2025-05-22 17:14:03 | 0.29% | 0.07 | 15.6 | 19.66 | 0% | 571
2025-05-22 17:14:04 | 0.29% | 0.07 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:14:05 | 0.30% | 0.07 | 14.9 | 18.71 | 0% | 571
2025-05-22 17:14:06 | 0.30% | 0.07 | 15.7 | 19.21 | 0% | 571
2025-05-22 17:14:08 | 0.30% | 0.07 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:14:09 | 0.30% | 0.07 | 15.0 | 18.86 | 0% | 571
2025-05-22 17:14:10 | 0.30% | 0.07 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:14:11 | 0.30% | 0.07 | 14.7 | 18.55 | 0% | 571
2025-05-22 17:14:12 | 0.30% | 0.07 | 15.1 | 19.08 | 0% | 571
2025-05-22 17:14:13 | 0.30% | 0.07 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:14:14 | 0.30% | 0.07 | 14.8 | 18.70 | 0% | 571
2025-05-22 17:14:16 | 0.30% | 0.07 | 15.4 | 19.33 | 0% | 571
2025-05-22 17:14:17 | 0.30% | 0.07 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:14:18 | 0.30% | 0.07 | 14.9 | 18.82 | 0% | 571
2025-05-22 17:14:19 | 0.30% | 0.07 | 15.4 | 19.33 | 0% | 571
2025-05-22 17:14:20 | 0.31% | 0.07 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:14:21 | 0.31% | 0.07 | 15.0 | 18.95 | 0% | 571
2025-05-22 17:14:23 | 0.31% | 0.07 | 15.4 | 19.33 | 0% | 571
2025-05-22 17:14:24 | 0.31% | 0.07 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:14:25 | 0.31% | 0.07 | 15.0 | 18.91 | 0% | 571
2025-05-22 17:14:26 | 0.31% | 0.07 | 15.5 | 19.50 | 0% | 571
2025-05-22 17:14:27 | 0.31% | 0.07 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:14:28 | 0.31% | 0.07 | 14.9 | 18.71 | 0% | 571
2025-05-22 17:14:30 | 0.32% | 0.08 | 15.6 | 19.65 | 0% | 571
2025-05-22 17:14:31 | 0.32% | 0.08 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:14:32 | 0.32% | 0.08 | 14.9 | 18.71 | 0% | 571
2025-05-22 17:14:33 | 0.32% | 0.08 | 15.1 | 18.46 | 0% | 571
2025-05-22 17:14:34 | 0.32% | 0.08 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:14:35 | 0.32% | 0.08 | 15.0 | 18.88 | 0% | 571
2025-05-22 17:14:37 | 0.32% | 0.08 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:14:38 | 0.32% | 0.08 | 14.7 | 18.52 | 0% | 571
2025-05-22 17:14:39 | 0.32% | 0.08 | 15.1 | 19.10 | 0% | 571
2025-05-22 17:14:40 | 0.33% | 0.08 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:14:41 | 0.33% | 0.08 | 14.9 | 18.67 | 0% | 571
2025-05-22 17:14:42 | 0.33% | 0.08 | 15.4 | 19.33 | 0% | 571
2025-05-22 17:14:43 | 0.33% | 0.08 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:14:45 | 0.33% | 0.08 | 15.0 | 18.82 | 0% | 571
2025-05-22 17:14:46 | 0.33% | 0.08 | 15.4 | 19.33 | 0% | 571
2025-05-22 17:14:47 | 0.33% | 0.08 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:14:48 | 0.33% | 0.08 | 14.9 | 18.91 | 0% | 571
2025-05-22 17:14:49 | 0.33% | 0.08 | 15.4 | 19.33 | 0% | 571
2025-05-22 17:14:50 | 0.33% | 0.08 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:14:51 | 0.33% | 0.08 | 15.0 | 18.95 | 0% | 571
2025-05-22 17:14:53 | 0.33% | 0.08 | 15.4 | 19.37 | 0% | 571
2025-05-22 17:14:54 | 0.34% | 0.08 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:14:55 | 0.34% | 0.08 | 15.0 | 18.95 | 0% | 571
2025-05-22 17:14:56 | 0.34% | 0.08 | 15.5 | 19.54 | 0% | 571
2025-05-22 17:14:57 | 0.34% | 0.08 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:14:58 | 0.34% | 0.08 | 14.9 | 18.71 | 0% | 571
2025-05-22 17:15:00 | 0.34% | 0.08 | 15.7 | 19.73 | 0% | 571
